,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
7796,954044,24,3,5072226,7035,HIGH,8,NO,MEDIUM
7797,82757,40,11,4981636,9188,LOW,1,YES,MEDIUM
7798,592513,38,10,5098379,5946,MEDIUM,0,YES,MEDIUM
7799,526761,33,40,5012203,6005,LOW,3,YES,MEDIUM
7800,294552,11,11,5036350,6820,HIGH,8,NO,MEDIUM
7801,633630,32,42,5052081,2961,HIGH,4,NO,HIGH
7802,102388,41,22,5004711,8500,HIGH,6,NO,MEDIUM
7803,339496,17,7,4978661,6003,HIGH,2,YES,LOW
7804,1450555,28,43,4926827,9060,MEDIUM,9,YES,MEDIUM
7805,1370935,25,9,4979854,4685,HIGH,3,YES,LOW
7806,1430840,32,18,4935659,3416,LOW,0,NO,HIGH
7807,279519,0,2,4937810,3800,MEDIUM,3,NO,MEDIUM
7808,885034,27,43,5043704,9896,HIGH,7,NO,MEDIUM
7809,384672,33,29,5056610,304,HIGH,9,YES,HIGH
7810,622867,23,24,4937094,1510,MEDIUM,5,NO,HIGH
7811,1144993,31,9,4995629,9326,HIGH,7,YES,LOW
7812,1417521,36,12,5029729,922,LOW,8,YES,HIGH
7813,819481,49,25,5029302,6698,LOW,0,YES,MEDIUM
7814,1331510,0,37,5012406,2472,HIGH,9,YES,MEDIUM
7815,1378426,26,24,5005915,9334,HIGH,5,NO,LOW
7816,376566,12,14,5072474,2680,HIGH,0,YES,LOW
7817,561037,2,40,5004124,9443,LOW,4,NO,HIGH
7818,1379919,8,45,4944987,9724,MEDIUM,0,YES,LOW
7819,482930,48,40,4975068,809,MEDIUM,6,YES,HIGH
7820,1419123,10,1,5038446,9391,HIGH,9,NO,LOW
7821,814987,45,12,4942618,1598,LOW,9,NO,HIGH
7822,1080413,28,27,5012959,5124,HIGH,1,YES,LOW
7823,1266682,25,12,4956102,3613,LOW,3,YES,MEDIUM
7824,1325635,41,14,5004150,7147,MEDIUM,6,NO,HIGH
7825,678679,16,2,5039283,4574,LOW,3,NO,HIGH
7826,612162,1,44,4983942,2676,HIGH,5,NO,MEDIUM
7827,1131401,12,32,4994796,4894,HIGH,5,NO,MEDIUM
7828,924785,20,39,4995288,2818,LOW,3,NO,HIGH
7829,364684,29,4,5022211,8380,LOW,5,YES,HIGH
7830,570600,32,5,5036607,1518,MEDIUM,0,YES,MEDIUM
7831,468306,39,31,5003409,6882,LOW,8,NO,HIGH
7832,166260,0,22,5057184,5833,HIGH,0,YES,LOW
7833,521260,46,48,4966467,9452,LOW,4,YES,HIGH
7834,546276,30,49,5008566,3185,HIGH,5,YES,MEDIUM
7835,1271608,33,17,4945062,4328,MEDIUM,9,YES,MEDIUM
7836,455990,8,3,5046322,3890,HIGH,9,NO,HIGH
7837,488066,1,9,4987817,6834,LOW,3,YES,MEDIUM
7838,1255696,34,6,5008930,5538,LOW,7,NO,HIGH
7839,647664,19,16,4916342,4708,MEDIUM,5,NO,HIGH
7840,773796,33,26,5065142,738,MEDIUM,6,YES,HIGH
7841,590237,3,30,4985596,1797,HIGH,7,NO,HIGH
7842,1313963,41,35,5023512,7605,MEDIUM,2,NO,MEDIUM
7843,168186,45,33,5007826,3829,HIGH,4,YES,MEDIUM
7844,344076,7,47,5074799,6159,MEDIUM,4,NO,MEDIUM
7845,245136,11,49,5015775,8527,HIGH,8,YES,LOW
7846,1227724,41,26,5017797,417,LOW,1,YES,MEDIUM
7847,1420552,25,37,4975380,5976,LOW,5,YES,MEDIUM
7848,1046844,6,32,5024676,561,HIGH,2,NO,MEDIUM
7849,217682,17,11,4927878,3418,HIGH,3,NO,MEDIUM
7850,57951,32,29,5035562,6689,MEDIUM,7,NO,HIGH
7851,1205893,33,30,5012347,9324,HIGH,8,NO,MEDIUM
7852,903074,20,17,5022166,7427,HIGH,8,YES,LOW
7853,634469,42,32,5004799,6258,LOW,6,YES,HIGH
7854,344413,5,40,4981426,1013,LOW,6,NO,HIGH
7855,143693,23,0,5070472,6773,MEDIUM,3,YES,MEDIUM
7856,971066,9,37,5018881,3798,LOW,4,YES,MEDIUM
7857,217681,1,33,5066887,8994,LOW,4,YES,MEDIUM
7858,1044340,26,24,4980527,324,MEDIUM,0,NO,HIGH
7859,280622,20,48,5039345,9683,HIGH,4,YES,LOW
7860,873236,28,36,4930575,319,HIGH,2,YES,MEDIUM
7861,107591,28,18,4959024,679,LOW,1,YES,MEDIUM
7862,1151327,5,39,4991341,1472,LOW,0,NO,MEDIUM
7863,376339,14,23,4970299,9145,MEDIUM,5,NO,MEDIUM
7864,773930,44,1,5039833,3311,MEDIUM,9,YES,HIGH
7865,426072,33,46,5035530,4869,LOW,4,NO,HIGH
7866,497497,8,16,4993497,3131,LOW,5,NO,HIGH
7867,654994,45,43,4977281,5310,MEDIUM,5,YES,MEDIUM
7868,975482,32,12,4911496,305,LOW,8,YES,HIGH
7869,661121,45,38,5035872,4876,HIGH,1,NO,MEDIUM
7870,1316964,7,47,5036234,713,HIGH,2,YES,LOW
7871,453028,38,15,4929009,3955,LOW,6,NO,HIGH
7872,1085301,43,49,5061274,7724,LOW,0,YES,MEDIUM
7873,114133,29,37,4961427,7356,HIGH,3,NO,MEDIUM
7874,761485,19,13,4974694,5528,LOW,7,NO,HIGH
7875,588174,10,29,4998624,3530,MEDIUM,3,YES,MEDIUM
7876,911918,43,29,4989092,7876,HIGH,7,YES,LOW
7877,1199382,32,14,4997612,6748,HIGH,2,NO,MEDIUM
7878,312983,17,23,4916882,9126,LOW,2,NO,HIGH
7879,649738,29,20,4963895,3072,HIGH,4,NO,HIGH
7880,1476509,0,43,5018923,6683,MEDIUM,6,NO,MEDIUM
7881,1327684,20,39,4986102,6167,HIGH,7,NO,MEDIUM
7882,56240,9,33,4999912,5404,HIGH,8,NO,MEDIUM
7883,1075088,39,27,4982058,745,HIGH,5,YES,MEDIUM
7884,474839,35,4,4906623,7287,LOW,5,NO,HIGH
7885,1372430,43,28,5075745,6761,MEDIUM,5,YES,MEDIUM
7886,1383209,17,9,4987417,6362,LOW,4,YES,MEDIUM
7887,1057863,3,0,5007819,9183,HIGH,2,YES,LOW
7888,1474715,12,40,5040889,613,HIGH,5,NO,HIGH
7889,209791,12,18,4986694,9594,LOW,0,YES,MEDIUM
7890,1449624,40,3,5031846,6763,MEDIUM,3,NO,HIGH
7891,588569,40,3,5027581,2264,MEDIUM,7,YES,HIGH
7892,456450,42,35,4902772,9326,HIGH,0,YES,LOW
7893,785031,44,26,5057969,7082,HIGH,0,YES,LOW
7894,451994,1,48,4960200,1953,LOW,3,NO,HIGH
7895,1168706,3,43,4964908,905,HIGH,6,YES,MEDIUM
7896,425423,3,9,5034297,3203,LOW,0,NO,MEDIUM
7897,1407507,0,11,5007163,7263,MEDIUM,2,YES,LOW
7898,618074,18,10,5011901,2192,HIGH,9,NO,HIGH
7899,221827,43,4,4993578,6000,HIGH,6,NO,HIGH
7900,1457844,18,18,5030194,361,LOW,6,YES,MEDIUM
7901,1402094,36,27,4968412,4318,LOW,6,YES,HIGH
7902,1104958,21,39,5019566,6239,MEDIUM,6,YES,MEDIUM
7903,48635,35,31,4979393,253,HIGH,5,YES,HIGH
7904,435226,24,24,4940942,5286,LOW,2,YES,MEDIUM
7905,1446787,30,2,4970681,7917,MEDIUM,8,YES,MEDIUM
7906,1263948,46,0,4944378,3983,LOW,0,YES,MEDIUM
7907,683651,18,38,5018691,9265,LOW,4,NO,HIGH
7908,14307,36,48,4991343,6278,MEDIUM,6,YES,MEDIUM
7909,667916,14,40,5012021,2348,LOW,8,YES,MEDIUM
7910,217217,33,36,4967690,8850,LOW,7,YES,HIGH
7911,267776,21,17,4876267,7463,MEDIUM,1,NO,MEDIUM
7912,1411575,0,0,4984066,9259,LOW,2,YES,LOW
7913,1443678,10,28,4882035,5989,HIGH,3,YES,LOW
7914,1155107,23,45,5014439,2568,MEDIUM,4,YES,MEDIUM
7915,732550,22,35,4934368,2847,LOW,9,YES,HIGH
7916,1442224,30,14,5036206,7839,MEDIUM,7,NO,HIGH
7917,357671,46,36,4948433,7339,MEDIUM,9,NO,HIGH
7918,634530,13,21,5066559,8585,LOW,7,YES,MEDIUM
7919,107082,1,13,5033698,4647,HIGH,3,YES,LOW
7920,317471,11,3,5024760,5360,LOW,6,NO,HIGH
7921,34712,44,31,5031603,4455,MEDIUM,6,NO,HIGH
7922,150318,35,23,4954236,2416,HIGH,7,NO,HIGH
7923,684081,12,2,4987846,5793,HIGH,8,YES,LOW
7924,1369752,11,34,4971728,5149,MEDIUM,2,YES,LOW
7925,1211862,35,10,4906718,8791,HIGH,3,YES,LOW
7926,438885,27,48,5063856,4990,MEDIUM,9,YES,MEDIUM
7927,62110,38,31,4976524,4678,MEDIUM,0,YES,MEDIUM
7928,666852,33,24,4951898,5394,HIGH,2,YES,LOW
7929,148573,23,16,4987845,7754,MEDIUM,6,NO,HIGH
7930,443296,25,43,4946281,2715,HIGH,4,NO,HIGH
7931,1089335,22,41,5007681,768,LOW,3,NO,HIGH
7932,1046933,32,40,5021583,1920,HIGH,3,YES,MEDIUM
7933,837525,44,33,5022740,4603,MEDIUM,2,NO,HIGH
7934,880355,48,27,4947490,9071,HIGH,9,YES,LOW
7935,397519,15,14,4965805,731,MEDIUM,1,NO,HIGH
7936,63146,16,30,4981509,4753,LOW,9,NO,HIGH
7937,1128358,18,38,4992293,4782,LOW,7,YES,MEDIUM
7938,1091227,45,10,4981717,5669,HIGH,0,NO,MEDIUM
7939,236572,15,15,4972461,9469,HIGH,9,NO,MEDIUM
7940,338990,17,15,5007993,7813,LOW,7,YES,MEDIUM
7941,158367,41,1,5033223,3421,HIGH,0,YES,MEDIUM
7942,649632,15,21,5015075,1677,MEDIUM,4,YES,MEDIUM
7943,684129,16,12,4970807,5259,HIGH,9,NO,HIGH
7944,935966,16,38,4983494,2454,HIGH,7,NO,HIGH
7945,662719,31,49,4954321,1946,MEDIUM,9,YES,HIGH
7946,1018097,29,46,5035384,5125,LOW,8,YES,HIGH
7947,837492,2,2,4979955,400,MEDIUM,2,NO,HIGH
7948,141167,27,14,5014241,6086,HIGH,5,NO,MEDIUM
7949,998364,40,25,5124328,6878,LOW,2,NO,HIGH
7950,344567,8,2,4961930,4213,LOW,1,YES,MEDIUM
7951,564201,36,31,4896227,5585,LOW,7,NO,HIGH
7952,683925,39,37,5030870,2094,MEDIUM,8,YES,HIGH
7953,1065503,14,10,4959209,5515,LOW,0,NO,HIGH
7954,884378,11,32,4945378,5199,HIGH,4,NO,MEDIUM
7955,756081,28,11,5009612,1061,HIGH,6,NO,HIGH
7956,1182082,30,14,5009113,9513,MEDIUM,0,YES,LOW
7957,432919,34,46,5118405,5432,HIGH,2,YES,LOW
7958,123333,28,26,4980511,4909,HIGH,1,NO,MEDIUM
7959,1225935,6,40,4937825,4120,HIGH,1,NO,MEDIUM
7960,1410736,27,27,4938002,963,HIGH,5,NO,HIGH
7961,402820,44,19,5062620,2126,MEDIUM,9,NO,HIGH
7962,479015,15,4,4998354,2084,LOW,3,NO,HIGH
7963,560124,32,47,5000632,6766,MEDIUM,7,NO,HIGH
7964,883919,49,48,5013722,542,MEDIUM,3,NO,HIGH
7965,512939,42,21,4946631,5604,MEDIUM,2,NO,HIGH
7966,188264,41,12,5031979,7989,HIGH,0,YES,LOW
7967,1148864,15,14,5062856,944,LOW,9,NO,HIGH
7968,1435866,39,4,5000920,7247,HIGH,8,NO,MEDIUM
7969,143345,49,26,4963250,5649,LOW,2,NO,HIGH
7970,258440,7,38,5083639,8247,MEDIUM,9,YES,MEDIUM
7971,797778,14,5,4985645,8598,MEDIUM,0,NO,MEDIUM
7972,532413,23,34,5028435,6536,HIGH,7,NO,MEDIUM
7973,1131925,1,23,5057066,6596,LOW,2,NO,MEDIUM
7974,1098649,14,25,4982028,1945,HIGH,6,YES,MEDIUM
7975,326044,18,46,4935747,6265,LOW,9,NO,HIGH
7976,1356095,24,30,5006137,3446,LOW,3,YES,MEDIUM
7977,770600,23,38,4917558,5620,LOW,0,YES,MEDIUM
7978,1386017,8,43,4948815,195,LOW,3,NO,HIGH
7979,1513442,8,11,5054281,118,MEDIUM,4,NO,HIGH
7980,1044761,28,36,5036895,7100,HIGH,8,NO,MEDIUM
7981,1388570,22,13,5005959,5762,HIGH,2,YES,LOW
7982,1452152,23,3,5069235,3445,HIGH,3,YES,LOW
7983,1234876,44,43,4936135,523,HIGH,8,NO,HIGH
7984,560922,28,22,4970185,1999,MEDIUM,2,YES,MEDIUM
7985,303219,46,40,4955896,2243,LOW,5,NO,HIGH
7986,1390719,23,28,4906405,1281,MEDIUM,1,NO,HIGH
7987,512370,21,40,5032244,6630,LOW,8,YES,HIGH
7988,829960,49,10,5060514,4214,LOW,7,YES,HIGH
7989,42060,16,24,5027902,6709,HIGH,0,YES,LOW
7990,1351908,49,33,5012171,1305,MEDIUM,6,NO,HIGH
7991,1224688,10,17,5041621,9801,MEDIUM,0,NO,LOW
7992,914832,36,42,4930544,1483,MEDIUM,0,YES,MEDIUM
7993,1241855,26,43,5009753,3484,MEDIUM,4,YES,MEDIUM
7994,371089,38,23,5055049,9432,LOW,2,YES,MEDIUM
7995,1231548,13,24,4971028,4204,LOW,5,NO,HIGH
7996,906836,26,48,5093242,7733,MEDIUM,5,YES,MEDIUM
7997,1357270,31,33,4887496,978,LOW,6,NO,HIGH
7998,281182,12,6,5017483,2510,LOW,9,YES,HIGH
7999,872855,4,48,4916765,1778,MEDIUM,9,YES,MEDIUM
8000,623053,7,27,5026216,4476,LOW,5,YES,MEDIUM
8001,556544,22,4,4973021,8051,HIGH,4,NO,MEDIUM
8002,323018,12,21,5009435,8064,LOW,9,NO,HIGH
8003,290922,26,36,5022803,523,HIGH,8,YES,HIGH
8004,1135776,33,33,4979019,4490,MEDIUM,2,NO,HIGH
8005,726861,18,37,5076023,9691,HIGH,2,YES,LOW
8006,1279306,18,49,4902393,2166,LOW,5,YES,MEDIUM
8007,1277968,39,37,5014930,3432,LOW,4,NO,HIGH
8008,1034226,41,31,4859603,4405,MEDIUM,4,NO,HIGH
8009,1220309,34,33,4998555,4481,LOW,8,NO,HIGH
8010,424674,0,19,4981105,7499,MEDIUM,0,NO,MEDIUM
8011,1240627,36,25,4991378,142,HIGH,0,YES,MEDIUM
8012,677996,20,42,4945018,7891,HIGH,3,NO,LOW
8013,641761,30,0,5015484,4467,HIGH,2,YES,LOW
8014,1037245,42,31,5108685,5561,HIGH,0,YES,LOW
8015,1285657,27,40,4984561,1914,LOW,1,YES,MEDIUM
8016,1252454,16,35,5045490,1613,HIGH,3,NO,HIGH
8017,717863,29,27,5056928,3517,LOW,9,NO,HIGH
8018,300911,9,7,4997465,1036,HIGH,9,YES,MEDIUM
8019,829479,17,8,5052616,8623,MEDIUM,9,YES,MEDIUM
8020,827547,31,48,4950147,1085,LOW,8,NO,HIGH
8021,875834,22,0,4929333,5724,MEDIUM,4,YES,MEDIUM
8022,121957,10,8,4991935,3282,MEDIUM,7,YES,MEDIUM
8023,414879,5,45,5028446,9829,LOW,7,YES,MEDIUM
8024,931296,6,34,4995722,4188,HIGH,0,YES,LOW
8025,1030066,8,19,4982705,9168,LOW,8,NO,HIGH
8026,1286727,9,9,4985319,2944,MEDIUM,5,NO,HIGH
8027,837483,29,36,5062569,8512,MEDIUM,1,YES,LOW
8028,330931,21,32,4992735,3531,MEDIUM,6,NO,HIGH
8029,156272,46,34,4940945,2304,LOW,6,NO,HIGH
8030,144395,7,49,4946293,3279,MEDIUM,5,YES,MEDIUM
8031,422126,23,23,4964943,7064,MEDIUM,8,YES,MEDIUM
8032,403150,34,46,4918654,3442,HIGH,7,YES,MEDIUM
8033,1136875,39,29,5024970,4667,MEDIUM,7,YES,MEDIUM
8034,1292687,27,14,5068656,4772,HIGH,5,NO,MEDIUM
8035,1427124,21,37,4978487,8151,MEDIUM,5,NO,MEDIUM
8036,501325,28,23,4920567,8141,HIGH,6,YES,LOW
8037,319291,24,6,4957373,4624,HIGH,0,NO,MEDIUM
8038,948466,23,6,5011509,9623,LOW,2,YES,MEDIUM
8039,545114,49,39,5091773,7681,HIGH,4,YES,LOW
8040,759511,32,41,4970838,5175,HIGH,7,YES,MEDIUM
8041,1053958,13,10,5106480,5570,LOW,8,NO,HIGH
8042,1317781,48,48,5072322,8515,LOW,2,NO,HIGH
8043,1475360,32,48,5089916,5713,MEDIUM,2,YES,LOW
8044,684875,29,42,4937853,8949,HIGH,2,YES,LOW
8045,1391970,9,24,4962586,1701,LOW,8,YES,MEDIUM
8046,1022743,42,12,4956654,177,MEDIUM,8,NO,HIGH
8047,35246,37,44,5047791,2913,MEDIUM,1,YES,MEDIUM
8048,585860,0,8,4916774,1385,MEDIUM,3,NO,HIGH
8049,253164,6,14,4991579,8766,LOW,8,YES,MEDIUM
8050,19773,36,15,5034203,9803,HIGH,0,NO,LOW
8051,275052,42,48,4938038,2163,HIGH,3,YES,MEDIUM
8052,1177732,41,29,4950707,6343,LOW,4,YES,MEDIUM
8053,176317,28,21,5080759,1094,HIGH,7,YES,HIGH
8054,418311,23,9,5014939,1623,LOW,3,NO,HIGH
8055,399316,47,31,5053320,7916,HIGH,5,NO,MEDIUM
8056,771326,34,7,5063597,3558,LOW,5,YES,HIGH
8057,1223311,41,34,5027369,1060,MEDIUM,8,YES,HIGH
8058,601525,1,33,5073340,3269,HIGH,9,YES,MEDIUM
8059,1294708,28,1,4976933,4205,HIGH,4,YES,LOW
8060,1249570,4,48,5031999,4899,MEDIUM,2,NO,MEDIUM
8061,1040807,49,24,4967109,2517,LOW,9,NO,HIGH
8062,543579,15,33,5057037,4140,LOW,9,NO,HIGH
8063,1224016,22,45,4975183,8624,HIGH,5,NO,LOW
8064,1189236,9,1,4977775,1481,MEDIUM,1,YES,LOW
8065,331177,13,47,4996617,2502,MEDIUM,9,NO,HIGH
8066,1261527,3,40,5067096,8619,MEDIUM,0,YES,LOW
8067,931647,3,5,5010559,1082,LOW,0,YES,LOW
8068,501613,16,8,4951846,961,HIGH,9,YES,MEDIUM
8069,746126,36,42,4975014,5817,MEDIUM,3,NO,HIGH
8070,1141446,24,19,4987368,9412,HIGH,4,YES,LOW
8071,876347,33,9,5050980,6650,HIGH,4,YES,LOW
8072,569010,28,41,5045199,6840,LOW,9,YES,HIGH
8073,551353,3,31,4985770,4949,MEDIUM,6,NO,HIGH
8074,14458,3,14,5024048,7266,MEDIUM,4,NO,MEDIUM
8075,122104,3,32,4986288,2602,LOW,7,YES,MEDIUM
8076,230996,33,7,4979818,3487,MEDIUM,2,YES,MEDIUM
8077,400973,8,33,4930638,9161,MEDIUM,6,YES,LOW
8078,831637,18,43,5011696,1063,LOW,9,NO,HIGH
8079,287302,41,13,5025576,2846,LOW,8,NO,HIGH
8080,41286,44,49,5015051,761,MEDIUM,0,YES,MEDIUM
8081,1151692,26,9,5076483,4812,MEDIUM,0,NO,MEDIUM
8082,1012831,21,47,5057611,742,HIGH,9,YES,MEDIUM
8083,548321,14,33,5088707,4261,HIGH,8,YES,MEDIUM
8084,1341973,42,35,5071978,463,HIGH,4,YES,MEDIUM
8085,1437656,39,5,4926171,7691,HIGH,9,YES,LOW
8086,69679,24,5,5016146,1388,LOW,5,NO,HIGH
8087,1302996,3,13,4924816,7301,LOW,9,YES,MEDIUM
8088,1058045,16,36,4949656,951,MEDIUM,3,YES,MEDIUM
8089,703071,33,3,5031621,8644,LOW,6,NO,HIGH
8090,1369745,13,15,4990392,7102,MEDIUM,0,NO,MEDIUM
8091,1155513,48,11,4983429,945,HIGH,8,YES,HIGH
8092,1101396,33,49,4956735,2478,HIGH,6,YES,MEDIUM
8093,289564,25,9,5071955,7384,HIGH,2,NO,MEDIUM
8094,1435356,44,12,4920377,1537,HIGH,4,NO,HIGH
8095,751734,33,41,4979994,4009,HIGH,0,NO,MEDIUM
8096,953982,17,18,5058274,8175,HIGH,8,NO,MEDIUM
8097,877599,31,31,4890030,8242,MEDIUM,4,NO,HIGH
8098,553829,18,6,5072662,7953,HIGH,8,NO,MEDIUM
8099,346234,13,37,5009413,2832,MEDIUM,1,NO,HIGH
8100,1452521,5,1,5046375,9633,HIGH,9,NO,LOW
8101,1273563,38,48,5032545,500,MEDIUM,1,NO,HIGH
8102,1383727,34,22,4932581,3363,LOW,2,YES,MEDIUM
8103,122521,27,44,4997827,4271,LOW,3,NO,HIGH
8104,873111,40,12,5077977,971,MEDIUM,5,NO,HIGH
8105,925759,5,3,5004494,8149,HIGH,8,YES,LOW
8106,388105,38,15,4974000,5288,LOW,2,YES,MEDIUM
8107,842871,33,8,4965616,2778,LOW,3,YES,MEDIUM
8108,1146222,32,5,5014920,7339,MEDIUM,8,YES,MEDIUM
8109,529518,47,25,4964515,1792,MEDIUM,6,YES,HIGH
8110,1405974,49,27,4969558,7996,MEDIUM,2,NO,HIGH
8111,724454,34,11,5038968,6577,LOW,7,NO,HIGH
8112,1099923,32,30,5040597,3229,HIGH,1,YES,LOW
8113,1435552,24,47,5063828,4408,LOW,3,YES,MEDIUM
8114,336054,2,18,4962146,4167,HIGH,8,NO,MEDIUM
8115,334892,21,7,4978821,7775,HIGH,7,YES,LOW
8116,1043305,46,37,5034942,6931,HIGH,2,NO,MEDIUM
8117,762463,22,25,4957940,6598,LOW,0,YES,MEDIUM
8118,1432204,4,5,5062501,521,MEDIUM,5,YES,MEDIUM
8119,1483517,9,21,5110936,1853,LOW,9,NO,HIGH
8120,917367,20,3,4980050,2849,HIGH,0,YES,LOW
8121,1336255,46,26,4919067,7746,LOW,6,NO,HIGH
8122,645213,28,26,5007588,9561,LOW,8,NO,HIGH
8123,393745,43,2,4955333,950,MEDIUM,1,YES,MEDIUM
8124,371566,0,31,4956471,6925,MEDIUM,3,NO,MEDIUM
8125,779023,24,43,4932746,643,MEDIUM,0,NO,HIGH
8126,1153987,28,40,5011169,433,MEDIUM,6,NO,HIGH
8127,862697,11,11,5009893,6882,MEDIUM,1,NO,MEDIUM
8128,934759,49,6,5020379,7140,LOW,6,YES,HIGH
8129,945492,27,31,4962765,4714,MEDIUM,4,YES,MEDIUM
8130,687103,48,20,4898925,2809,LOW,5,YES,HIGH
8131,664012,48,49,5021872,5341,MEDIUM,9,NO,HIGH
8132,1242661,2,20,4899475,9011,LOW,3,NO,HIGH
8133,733528,30,40,5028850,5868,MEDIUM,4,YES,MEDIUM
8134,1067437,10,18,5015091,6627,LOW,4,NO,HIGH
8135,1280106,18,15,5015329,3424,LOW,5,YES,MEDIUM
8136,1282808,11,14,4994093,8928,LOW,9,NO,HIGH
8137,892284,28,13,4985494,4259,MEDIUM,9,NO,HIGH
8138,395707,48,13,4844000,4668,MEDIUM,3,YES,MEDIUM
8139,1178609,23,35,4995268,7954,MEDIUM,3,NO,MEDIUM
8140,971759,23,23,4973716,8848,MEDIUM,9,NO,HIGH
8141,337248,26,27,5020443,8419,MEDIUM,4,YES,MEDIUM
8142,203720,39,6,4974589,6739,LOW,3,NO,HIGH
8143,853841,1,35,4996040,4327,MEDIUM,4,NO,MEDIUM
8144,1404883,39,11,5013129,2091,HIGH,2,NO,HIGH
8145,1105302,45,27,4994845,850,MEDIUM,6,NO,HIGH
8146,762243,36,40,5040379,1447,MEDIUM,6,YES,HIGH
8147,188009,28,10,4921443,4279,MEDIUM,4,YES,MEDIUM
8148,727294,17,17,4984197,273,HIGH,9,NO,HIGH
8149,443883,33,20,5035274,6589,LOW,6,YES,HIGH
8150,104195,14,10,4986301,5788,HIGH,3,YES,LOW
8151,1110739,35,30,4974887,8925,MEDIUM,6,YES,MEDIUM
8152,811297,37,15,4998867,218,HIGH,4,YES,MEDIUM
8153,826410,34,28,5050194,6529,MEDIUM,1,NO,MEDIUM
8154,715419,38,32,4951684,6414,LOW,3,NO,HIGH
8155,820560,24,5,5049197,4796,HIGH,1,YES,LOW
8156,45152,41,6,5034479,3848,HIGH,0,NO,HIGH
8157,220836,40,12,5049854,8679,LOW,8,YES,HIGH
8158,1313582,30,41,5063680,6357,MEDIUM,1,YES,LOW
8159,1170685,41,34,5013494,8607,HIGH,8,NO,MEDIUM
8160,973563,36,27,4911469,4157,HIGH,3,YES,LOW
8161,518164,1,15,4912289,4513,LOW,4,NO,HIGH
8162,764296,6,2,4985147,4740,LOW,2,YES,MEDIUM
8163,418577,4,33,5100094,1104,MEDIUM,1,NO,MEDIUM
8164,500440,12,48,4967586,6499,LOW,7,NO,HIGH
8165,194936,40,47,4987502,4274,HIGH,0,NO,MEDIUM
8166,774452,22,46,4999974,5819,HIGH,1,YES,LOW
8167,635545,1,9,4984600,7176,HIGH,4,YES,LOW
8168,1174655,38,38,5017498,5529,HIGH,3,YES,LOW
8169,807596,8,11,5000252,6605,HIGH,3,NO,LOW
8170,383837,8,5,4965424,8532,HIGH,4,NO,LOW
8171,293916,26,22,5142007,8568,LOW,1,NO,HIGH
8172,296190,48,27,5036749,5416,LOW,9,NO,HIGH
8173,1052008,39,0,5041842,6953,MEDIUM,4,YES,MEDIUM
8174,536112,9,14,5051272,1713,LOW,5,YES,MEDIUM
8175,368881,45,31,5020408,7369,MEDIUM,7,YES,MEDIUM
8176,1329055,49,21,4995428,3219,MEDIUM,3,YES,MEDIUM
8177,135312,14,33,5103774,916,HIGH,2,YES,MEDIUM
8178,1116346,38,30,5104792,6957,HIGH,9,NO,HIGH
8179,686853,21,22,5004452,7979,HIGH,6,NO,MEDIUM
8180,848358,11,19,4970917,7419,HIGH,8,YES,LOW
8181,1362819,24,11,4971648,4777,HIGH,1,YES,LOW
8182,1195543,26,47,4967687,4007,MEDIUM,3,YES,MEDIUM
8183,167888,44,15,4963242,8571,MEDIUM,7,YES,MEDIUM
8184,450423,24,26,4921080,1103,MEDIUM,0,NO,HIGH
8185,258795,28,5,4905705,7072,MEDIUM,9,YES,MEDIUM
8186,469332,35,22,4905339,3966,MEDIUM,5,NO,HIGH
8187,1261200,46,18,4973092,8268,HIGH,9,YES,LOW
8188,1072575,28,11,4908292,2249,LOW,0,NO,HIGH
8189,737053,8,38,5047958,4720,HIGH,5,YES,LOW
8190,694801,30,31,5017133,5346,MEDIUM,5,NO,HIGH
8191,73791,3,42,5000882,2405,HIGH,6,NO,HIGH
8192,634302,14,46,4890040,9363,MEDIUM,7,NO,MEDIUM
8193,127407,36,12,5008617,1889,HIGH,8,NO,HIGH
8194,636022,40,28,4906163,623,LOW,1,YES,MEDIUM
8195,1193207,13,49,4897967,6520,MEDIUM,5,NO,MEDIUM
8196,1395562,23,32,5051238,5482,MEDIUM,7,YES,MEDIUM
8197,911236,9,19,5011640,1082,HIGH,1,YES,LOW
8198,1100424,10,36,4973047,1798,MEDIUM,2,YES,LOW
8199,838379,0,41,5025739,6350,HIGH,7,YES,LOW
8200,1298726,26,20,5042963,3691,LOW,5,YES,MEDIUM
8201,214326,38,38,4992350,9568,LOW,3,YES,HIGH
8202,799940,10,34,4950361,6897,MEDIUM,8,NO,HIGH
8203,894483,34,40,5068007,1659,MEDIUM,2,NO,HIGH
8204,565621,17,43,5052415,3944,HIGH,7,YES,MEDIUM
8205,1178150,34,23,4962574,2814,LOW,8,YES,HIGH
8206,1414844,28,31,4994279,9021,MEDIUM,3,NO,MEDIUM
8207,1373451,6,21,4985711,5325,MEDIUM,4,YES,LOW
8208,1321602,6,6,4978317,4832,LOW,8,NO,HIGH
8209,1097502,32,48,4947300,3580,LOW,8,NO,HIGH
8210,216600,41,38,5040746,9064,MEDIUM,7,YES,MEDIUM
8211,551446,16,48,5021792,1664,LOW,0,YES,MEDIUM
8212,962495,32,13,5039321,655,MEDIUM,2,YES,MEDIUM
8213,1315780,34,18,4965444,4397,MEDIUM,9,NO,HIGH
8214,360423,27,9,4915425,9200,LOW,7,YES,HIGH
